net,length_um
_076_,124.35
_073_,115.14
_068_,100.98
_101_,95.86
_077_,92.4
net20,88.5
_078_,82.57
net22,81.98
net16,81.9
_067_,77.63
net24,73.26
_094_,71.6
net35,71.48
net34,71.16
net26,67.88
_074_,67.04
net13,67.02
net2,65.42
net4,62.8
_072_,62.54
net9,61.7
net7,61.1
net27,60.52
net12,59.5
net31,58.86
net3,56.18
net5,55.96
net36,55.9
_075_,54.46
net19,53.7
net29,52.4
net11,52.06
net28,51
clk,49.16
net32,49.02
net17,45.32
_070_,40.08
net30,39.78
net8,39.14
bit_counter\[0\],37.36
net25,35.76
net33,35.22
net23,33.7
net6,33.16
_006_,30.66
net21,30.4
net15,30.02
net14,29.6
net10,28.94
sd,28.59
_069_,27.9
bit_counter\[2\],23.68
net18,20.32
left_data[6],17.61
right_data[6],17.59
shift_reg\[15\],17.34
_015_,15.88
left_data[9],15.16
bit_counter\[1\],14.86
shift_reg\[7\],14.62
shift_reg\[12\],14.42
right_data[11],13.52
_003_,13.38
_088_,12.96
left_data[10],12.6
shift_reg\[8\],12.36
right_data[4],11.92
left_data[11],11.68
left_data[15],11.68
left_data[3],11.68
_092_,11.22
right_data[13],11.22
shift_reg\[11\],11.02
reset,10.88
right_data[10],10.76
right_data[8],10.76
_079_,10.68
_023_,10.58
right_data[1],10.56
shift_reg\[3\],10.46
_096_,10.42
_065_,9.9
left_data[4],9.71
_041_,9.66
left_data[14],9.64
right_data[12],9.64
right_data[9],9.64
_035_,9.44
_098_,9.3
left_data[0],9.18
left_data[13],8.72
right_data[15],8.72
_095_,8.56
bit_counter\[3\],7.98
shift_reg\[10\],7.78
_087_,7.7
_002_,7.36
_058_,7.23
_090_,7.06
_013_,6.88
left_data[2],6.77
right_data[0],6.67
shift_reg\[6\],6.64
_008_,6.54
shift_reg\[0\],6.38
_001_,6.28
right_data[5],6.11
left_data[7],6.09
right_data[2],5.97
_049_,5.94
shift_reg\[9\],5.92
_014_,5.72
_080_,5.68
left_data[5],5.63
_064_,5.56
_054_,5.53
ws,5.53
_093_,5.44
left_data[1],5.29
_059_,5.26
_089_,5.22
right_data[3],5.07
_085_,5.035
_040_,4.87
_005_,4.765
right_data[7],4.61
_029_,4.46
_043_,4.46
left_data[8],4.39
right_data[14],4.39
left_data[12],4.27
_084_,4.14
sck,3.93
_086_,3.88
_009_,3.66
_052_,3.61
_012_,3.54
_082_,3.42
shift_reg\[1\],3.42
_000_,3.22
_039_,3.22
_044_,3.13
_053_,3.08
shift_reg\[2\],2.96
shift_reg\[5\],2.96
net1,2.96
_034_,2.89
_066_,2.89
_022_,2.84
_042_,2.84
_046_,2.84
_062_,2.84
_024_,2.69
_028_,2.69
_099_,2.64
_057_,2.62
_026_,2.38
_032_,2.38
_048_,2.38
_017_,2.3
_025_,2.3
_081_,2.3
_004_,2.28
_010_,2.28
_016_,2.28
_030_,2.23
_050_,2.23
_019_,2.18
_020_,2.16
_027_,2.16
_045_,2.16
_083_,2.16
_037_,2.04
_011_,1.84
_021_,1.82
_036_,1.82
_060_,1.82
shift_reg\[13\],1.82
shift_reg\[14\],1.72
shift_reg\[4\],1.72
_007_,1.7
_018_,1.7
_031_,1.7
_055_,1.38
_061_,1.38
_097_,1.38
_038_,1.36
_056_,1.36
_033_,0.92
_047_,0.92
_051_,0.92
_063_,0.92
_071_,0.46
_091_,0.46
_100_,0.46
